product,uri
Bookings,https://www.microsoft.com/releasecommunications/api/v2/m365?&includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Bookings%27)&orderby=generalAvailabilityDate%20desc
Teams,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Teams%27)&orderby=generalAvailabilityDate%20desc
Copilot,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Copilot%20(Microsoft%20365)%27)&orderby=generalAvailabilityDate%20desc
Access,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Access%27)&orderby=generalAvailabilityDate%20desc
AzureIP,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Azure%20Information%20Protection%27)&orderby=generalAvailabilityDate%20desc
Excel,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Excel%27)&orderby=generalAvailabilityDate%20desc
Microsoft365,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20365%27)&orderby=generalAvailabilityDate%20desc
Microsoft365Defender,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20365%20Defender%27)&orderby=generalAvailabilityDate%20desc
DefenderForCloudApps,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Defender%20for%20Cloud%20Apps%27)&orderby=generalAvailabilityDate%20desc
Entra,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Entra%27)&orderby=generalAvailabilityDate%20desc
Intune,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Intune%27)&orderby=generalAvailabilityDate%20desc
Search,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Search%27)&orderby=generalAvailabilityDate%20desc
ToDo,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20To%20Do%27)&orderby=generalAvailabilityDate%20desc
Office365,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Office%20365%27)&orderby=generalAvailabilityDate%20desc
Outlook,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Outlook%27)&orderby=generalAvailabilityDate%20desc
PowerPoint,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27PowerPoint%27)&orderby=generalAvailabilityDate%20desc
UniversalPrint,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Universal%20Print%27)&orderby=generalAvailabilityDate%20desc
Windows,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Windows%27)&orderby=generalAvailabilityDate%20desc
Exchange,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Exchange%27)&orderby=generalAvailabilityDate%20desc
M365AdminCenter,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20365%20admin%20center%27)&orderby=generalAvailabilityDate%20desc
Clipchamp,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Clipchamp%27)&orderby=generalAvailabilityDate%20desc
DefenderOffice365,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Defender%20for%20Office%20365%27)&orderby=generalAvailabilityDate%20desc
Graph,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Graph%27)&orderby=generalAvailabilityDate%20desc
Project,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Project%27)&orderby=generalAvailabilityDate%20desc
Stream,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Stream%27)&orderby=generalAvailabilityDate%20desc
Viva,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Viva%27)&orderby=generalAvailabilityDate%20desc
OneDrive,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27OneDrive%27)&orderby=generalAvailabilityDate%20desc
Planner,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Planner%27)&orderby=generalAvailabilityDate%20desc
SharePoint,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27SharePoint%27)&orderby=generalAvailabilityDate%20desc
Visio,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Visio%27)&orderby=generalAvailabilityDate%20desc
Windows365,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Windows%20365%27)&orderby=generalAvailabilityDate%20desc
Forms,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Forms%27)&orderby=generalAvailabilityDate%20desc
M365App,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20365%20app%27)&orderby=generalAvailabilityDate%20desc
Edge,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Edge%27)&orderby=generalAvailabilityDate%20desc
MicrosoftIP,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Information%20Protection%27)&orderby=generalAvailabilityDate%20desc
PurviewCompliancePortal,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Microsoft%20Purview%20compliance%20portal%27)&orderby=generalAvailabilityDate%20desc
MinecraftEducation,https://www.microsoft.com/releasecommunications/api/v2/m365?includeFacets=true&skip=0&filter=products/any(f:f%20eq%20%27Minecraft%20Education%27)&orderby=generalAvailabilityDate%20desc

